OrderID,OrderDate,Quantity,UnitPrice,TotalPrice,Discount_Applied,PaymentMethod,ProductID,ProductName,ProductCategory,SKU,CustomerID,CustomerName,CustomerEmail,CustomerPhone,BillingAddress,ShippingCity,ShippingState,ShippingCountry,SalesRepID,SalesRepName,Region,SalesChannel,LeadSource,OrderStatus,ShippingDate,ShippingMethod,WarehouseCode,Notes,COGS_Percentage,Lead_Source
817233,2024-04-28,1,$821.57,$821.57,0.0,Crypto,ad305847-e2ad-42e9-b5d8-2d748588b0d9,Iterate Front-End Web Services,office_supplies,SKU-1334,5c339df5-481f-437d-8a5b-93215e68fe61,Mclean-Logan,davidsalinas@example.com,(400)716-7524,"964 Kimberly Burgs
West Marioberg, PA 52004",Lake Darren,MA,USA,,,EMEA,Online,Trade Show,Shipped,2024-04-29,Overnight,WH-010,Part community similar always food movie interest.,0.69,
816528,2025-02-18,10,$477.62,"$4,776.20",0.0,Crypto,ad305847-e2ad-42e9-b5d8-2d748588b0d9,Iterate Front-End Web Services,electronics,SKU-1334,66d2a0f9-fa43-4cf1-8b07-21ab84838d83,"Jones, Sanchez and Sutton",jamiemoran@example.com,001-465-848-1465x21245,"90424 Knight Lane Suite 596
Kellyview, OH 92846",New Michael,MD,USA,79e94da1-93dc-4b80-b990-8f0f74161f51,Kayla Hughes,EMEA,Reseller,Organic,Returned,2025-02-24,Overnight,WH-008,,0.74,
840631,2023-11-21,1,"$1,308.45","$1,308.45",0.0,Crypto,20c87ff8-de4b-4b98-9381-3edd534da9ad,Extend End-To-End Synergies,Furniture,SKU-3909,db58f9ff-3441-47a4-9f14-e93ca806acb7,"Ray, Brennan and Herrera",martinjeffrey@example.net,+1-417-713-7622,"USS Johnston
FPO AP 33940",Cameronport,PR,USA,1b0493ed-cbda-4aa8-b9b6-c0b214069091,Robert Mcmahon,Asia-Pacific,Direct,Trade Show,Cancelled,2023-12-02,Express,WH-001,,0.75,
ORD-20328,2024-09-30,1,$105.56,$105.56,0.0,Crypto,168eb9e8-edac-4ad3-9a8d-778e2657da28,Evolve Granular Mindshare,Office Supplies,SKU-9010,121881ee-53e8-4448-8d12-61598877d7a2,"Alvarez, Tyler and Schmidt",denise19@example.org,001-725-302-5479x7139,"2716 King Station
Burkemouth, ID 94295",South Jennifershire,LA,USA,79e94da1-93dc-4b80-b990-8f0f74161f51,Kayla Hughes,EMEA,Partner,Cold Call,Cancelled,2024-10-08,Express,WH-002,,0.62,
882263,2023-05-27,1,"$1,796.14","$1,796.14",0.0,Credit Card,ccecaaa8-083e-4dcc-877e-745587a9aa05,Re-Intermediate Proactive Communities,Electronics,SKU-4953,1c6a65e6-d2a9-4be7-b029-81a42fc80f84,Rowe Ltd,zacharyduran@example.net,+1-901-557-0179x708,"384 Amy Squares
Derekhaven, MI 96564",Oconnortown,PR,USA,79e94da1-93dc-4b80-b990-8f0f74161f51,Kayla Hughes,NA,Direct,Referral,Returned,2023-06-05,Express,WH-009,,0.55,
823586,2023-07-31,1,"$1,520.84","$1,520.84",0.0,Bank Transfer,ad305847-e2ad-42e9-b5d8-2d748588b0d9,Iterate Front-End Web Services,electronics,SKU-1334,,Turner PLC,cassandrataylor@example.org,907-603-3116,"4262 Andrew Ferry Suite 373
Lake Brittanymouth, MO 36074",Port Julie,AK,USA,79e94da1-93dc-4b80-b990-8f0f74161f51,Kayla Hughes,NA,Partner,Cold Call,Pending,2023-08-10,Express,WH-003,,0.62,
842931,2023-09-14,1,$86.11,$86.11,0.0,Bank Transfer,20c87ff8-de4b-4b98-9381-3edd534da9ad,Extend End-To-End Synergies,ELEC,SKU-3909,1b0c6118-5b42-424b-b284-76e1d0b6ff8c,Fowler Ltd,joannmack@example.com,449.206.5343,"87745 Moore Roads
Lake Davidbury, MH 06686",East Elizabeth,AL,USA,79e94da1-93dc-4b80-b990-8f0f74161f51,Kayla Hughes,"Europe, Middle East, Africa",Reseller,Organic,Shipped,2023-09-25,Express,WH-003,,0.69,
ORD-98946,2023-01-30,4,"$1,191.36","$4,765.44",0.0,Bank Transfer,168eb9e8-edac-4ad3-9a8d-778e2657da28,Evolve Granular Mindshare,electronics,SKU-9010,ca8650d6-84bd-4be1-8950-0258347dfbad,Vargas PLC,aboone@example.net,(206)774-1057,"34946 Wilson Cliff
New Ashley, MT 16861",Tammyburgh,MN,USA,79e94da1-93dc-4b80-b990-8f0f74161f51,Kayla Hughes,"Europe, Middle East, Africa",Reseller,Cold Call,Returned,2023-02-11,Overnight,WH-008,,0.75,
ORD-63785,2024-05-26,4,"$1,326.67","$4,510.68",0.15,Credit Card,05149cf0-b995-4264-9fdf-a50a4c5e25c9,Empower Mission-Critical Users,office_supplies,SKU-6995,3336d74b-502c-44c8-8c85-0a85ce1cdee9,Romero-Chambers,klong@example.net,001-896-561-3541x809,"8465 Kimberly Keys Apt. 404
North Emilyfurt, GA 11428",West Crystal,NC,USA,,,North America,Online,Web,Returned,2024-06-02,Express,WH-001,Peace development TV morning or record Democrat.,0.58,
869693,2023-06-26,5,$283.42,"$1,417.10",0.0,Bank Transfer,ccecaaa8-083e-4dcc-877e-745587a9aa05,Re-Intermediate Proactive Communities,Office Supplies,SKU-4953,3deabbec-fa25-4c3b-9555-e7eae9786c5c,Jones-Carter,wandasmith@example.net,(887)824-7171,"486 Gordon Mountains
Cookberg, AK 31323",South Ericfort,ME,USA,,,North America,Online,Referral,Returned,2023-06-30,Express,WH-002,,0.56,
879026,2022-11-25,1,$515.77,$412.62,0.2,Credit Card,de72bb0f-6763-41cd-bb8a-7a24b3b9a531,Expedite Distributed Relationships,Office Supplies,SKU-4544,,"Andrade, Collins and Mills",robertturner@example.org,001-970-744-8362,"7894 Gregory Walk Apt. 201
Smithberg, MI 28709",Westton,NC,USA,1b0493ed-cbda-4aa8-b9b6-c0b214069091,Robert Mcmahon,NA,Partner,Referral,Pending,2022-11-30,Express,WH-004,,0.59,
ORD-90092,2024-03-26,3,"$2,253.02","$6,759.06",0.0,Crypto,ccecaaa8-083e-4dcc-877e-745587a9aa05,Re-Intermediate Proactive Communities,Office Supplies,SKU-4953,2bbf3c54-7d0d-42fb-b5c6-4490c76bdcb3,"Vega, Davis and Ellis",amber25@example.net,+1-200-831-1093x9773,"795 Timothy Ridges Apt. 351
Jonesborough, MP 85046",New Jamesville,WY,USA,,,EMEA,Online,Web,Returned,2024-03-31,Standard,WH-006,,0.63,
ORD-44804,2024-03-27,2,"$1,091.87","$2,183.74",0.0,PayPal,ccecaaa8-083e-4dcc-877e-745587a9aa05,Re-Intermediate Proactive Communities,ELEC,SKU-4953,7d59373b-74ad-4210-9fb7-d7c0cd60ad84,Dixon Group,davidbaker@example.org,001-547-658-1212x08924,"35819 Davies Gardens Apt. 747
New Vicki, PA 31756",South Michaelhaven,SD,USA,1b0493ed-cbda-4aa8-b9b6-c0b214069091,Robert Mcmahon,N. America,Partner,Referral,Pending,2024-04-09,Express,WH-003,,0.7,
889603,2024-01-06,1,$358.24,$358.24,0.0,Crypto,20c87ff8-de4b-4b98-9381-3edd534da9ad,Extend End-To-End Synergies,Electronics,SKU-3909,2d2a51fd-a2f8-4b9b-9bf2-b1f4518e4281,"Yang, Dickerson and Smith",grace62@example.org,(757)615-3774,"956 Collins Plains
West Lindsayhaven, KY 71660",New Sarahside,CO,USA,,,"Europe, Middle East, Africa",Online,Referral,Pending,2024-01-17,Standard,WH-006,,0.68,
855430,2022-10-19,3,"$1,160.86","$3,308.45",0.05,Credit Card,9338c8f2-dcd0-47c2-8b6c-c94dcb0bc7f8,Visualize Killer Deliverables,ELEC,SKU-5993,bb44eb31-3ce9-45f4-bd7d-354b12a57f8f,Walsh Ltd,hmann@example.net,001-696-537-4391,"27887 Gordon Forest
West Kenneth, OK 83470",East Adambury,MH,USA,1b0493ed-cbda-4aa8-b9b6-c0b214069091,Robert Mcmahon,"Europe, Middle East, Africa",Partner,Organic,Cancelled,2022-10-24,Overnight,WH-007,,0.57,
ORD-23224,2025-01-19,4,"$1,141.03","$3,879.50",0.15,Bank Transfer,f13b0237-19f1-4ad8-bf92-e6c678ef480b,Integrate Synergistic Models,Office Supplies,SKU-8122,34f2c191-55f0-4712-98a9-5df7482628dd,Davis-Anthony,reneelogan@example.net,001-863-782-1068,"01154 Estes Courts
South Crystalfurt, MP 72991",New Patricia,OK,USA,1b0493ed-cbda-4aa8-b9b6-c0b214069091,Robert Mcmahon,"Europe, Middle East, Africa",Direct,Cold Call,Shipped,2025-01-30,Overnight,WH-008,,0.61,
876996,2024-06-18,3,"$1,635.85","$4,907.55",0.0,Bank Transfer,ad305847-e2ad-42e9-b5d8-2d748588b0d9,Iterate Front-End Web Services,ELEC,SKU-1334,09de6c9a-215e-4228-bcf3-bf1143c92a58,"Osborn, Kennedy and Nelson",joshuamedina@example.net,+1-275-986-0098x874,"9013 John Isle
East Juliastad, PW 56993",Bowenport,PW,USA,79e94da1-93dc-4b80-b990-8f0f74161f51,Kayla Hughes,NA,Direct,Referral,Pending,2024-07-01,Express,WH-002,,0.63,
ORD-54941,2023-09-06,2,$148.33,$296.66,0.0,PayPal,9338c8f2-dcd0-47c2-8b6c-c94dcb0bc7f8,Visualize Killer Deliverables,electronics,SKU-5993,34f2c191-55f0-4712-98a9-5df7482628dd,Davis-Anthony,reneelogan@example.net,001-863-782-1068,"8089 Sexton Brook Suite 672
West Amy, CA 37281",Tylerstad,AS,USA,,,Asia-Pacific,Online,Web,Returned,2023-09-17,Overnight,WH-004,,0.61,
806400,2024-03-17,2,"$2,437.14","$4,874.28",0.0,Credit Card,9338c8f2-dcd0-47c2-8b6c-c94dcb0bc7f8,Visualize Killer Deliverables,electronics,SKU-5993,121881ee-53e8-4448-8d12-61598877d7a2,"Alvarez, Tyler and Schmidt",denise19@example.org,001-725-302-5479x7139,"2222 Jones Stravenue
Port Leah, MD 63121",North Cassandramouth,TX,USA,1b0493ed-cbda-4aa8-b9b6-c0b214069091,Robert Mcmahon,EMEA,Direct,Referral,Returned,2024-03-26,Standard,WH-004,,0.68,
ORD-90936,2023-05-22,2,$961.31,"$1,634.23",0.15,Bank Transfer,168eb9e8-edac-4ad3-9a8d-778e2657da28,Evolve Granular Mindshare,office_supplies,SKU-9010,2bbf3c54-7d0d-42fb-b5c6-4490c76bdcb3,"Vega, Davis and Ellis",amber25@example.net,+1-200-831-1093x9773,"18814 Butler Mountain Apt. 592
Michaelchester, MI 16202",Fergusonburgh,ME,USA,1b0493ed-cbda-4aa8-b9b6-c0b214069091,Robert Mcmahon,North America,Direct,Web,Shipped,2023-05-25,Standard,WH-009,,0.71,
ORD-40248,2024-05-18,4,$806.64,"$2,742.58",,Credit Card,9338c8f2-dcd0-47c2-8b6c-c94dcb0bc7f8,Visualize Killer Deliverables,ELEC,SKU-5993,44e2a9d9-5ad5-438a-bc9b-22c637c562a9,Wheeler-Phillips,deborah80@example.org,(663)246-8521x5925,"6773 Rodriguez Shores
East Anne, MD 95520",Stephaniefurt,MS,USA,1b0493ed-cbda-4aa8-b9b6-c0b214069091,Robert Mcmahon,Asia-Pacific,Partner,Organic,Shipped,2024-05-22,Express,WH-005,,0.56,
898060,2023-04-06,3,$256.76,$770.28,0.0,Credit Card,ccecaaa8-083e-4dcc-877e-745587a9aa05,Re-Intermediate Proactive Communities,Electronics,SKU-4953,68aa6068-dd19-4924-bf31-79cb41cb6a27,Carroll Group,sarahwiley@example.net,992.387.5465x0925,"813 Harold Meadows Apt. 920
Port Jodi, NY 10083",Port Thomas,CA,USA,79e94da1-93dc-4b80-b990-8f0f74161f51,Kayla Hughes,NA,Reseller,Cold Call,Returned,2023-04-11,Standard,WH-007,,0.74,
867721,2025-09-09,1,"$1,201.32","$1,201.32",,Crypto,934cf22c-9564-4318-a081-33ada53a7c32,Productize Collaborative E-Markets,Furniture,SKU-2270,5e7daaac-bed8-42c3-afd5-a0ec91fed7a9,Hunter-Castaneda,emoore@example.net,475.893.5529x4710,"2075 Torres Club Suite 299
Lake Patricia, UT 15868",East Michelle,FL,USA,,,EMEA,Online,Organic,Pending,2025-09-11,Standard,WH-009,,0.66,
817751,2025-08-08,1,$720.15,$570.64,0.15,Crypto,a561200a-f638-4e09-a216-1873df420b66,Incentivize Dynamic Channels,Electronics,SKU-1038,74966f63-a86d-45e4-978f-3783e6f9025f,Jacobs-Rodriguez,charper@example.org,260-502-2398,"Unit 0818 Box 1592
DPO AA 08373",Nelsonland,GA,USA,1b0493ed-cbda-4aa8-b9b6-c0b214069091,Robert Mcmahon,EMEA,Partner,Web,Pending,2025-08-22,Standard,WH-006,,0.55,
ORD-38130,2024-11-28,1,$962.85,$770.28,0.2,Bank Transfer,934cf22c-9564-4318-a081-33ada53a7c32,Productize Collaborative E-Markets,ELEC,SKU-2270,e92e200f-04d3-4d93-b9ef-fff2b6c678bc,Hurley-Alvarez,valerie12@example.net,886.773.8431,"3724 Alexander Crescent Suite 259
New Edward, IA 44907",Port Michele,MP,USA,1b0493ed-cbda-4aa8-b9b6-c0b214069091,Robert Mcmahon,NA,Direct,Referral,Cancelled,2024-12-03,Express,WH-004,,0.67,
ORD-65044,2025-08-29,2,"$2,073.27","$4,146.54",0.0,Crypto,ccecaaa8-083e-4dcc-877e-745587a9aa05,Re-Intermediate Proactive Communities,ELEC,SKU-4953,de68ee36-5775-45be-8b8a-7bb3522d56ea,"Jones, Rodgers and Martinez",kristinvance@example.net,001-415-567-8683x185,"23369 Michael Port
North Davidton, WI 67754",Port Tamaraside,WA,USA,1b0493ed-cbda-4aa8-b9b6-c0b214069091,Robert Mcmahon,EMEA,Partner,Organic,Returned,2025-09-07,Standard,WH-007,,0.73,
ORD-43385,2024-11-26,1,"$1,193.52","$1,193.52",0.0,Credit Card,05149cf0-b995-4264-9fdf-a50a4c5e25c9,Empower Mission-Critical Users,Software,SKU-6995,1c6a65e6-d2a9-4be7-b029-81a42fc80f84,Rowe Ltd,zacharyduran@example.net,+1-901-557-0179x708,"987 Richard Center
Chelseashire, ID 77804",East Alexisfort,KS,USA,1b0493ed-cbda-4aa8-b9b6-c0b214069091,Robert Mcmahon,Asia-Pacific,Direct,Referral,Returned,2024-12-10,Standard,WH-007,Media black student power recognize.,0.63,
883061,2025-02-23,4,"$2,332.90","$7,931.86",0.15,Bank Transfer,9338c8f2-dcd0-47c2-8b6c-c94dcb0bc7f8,Visualize Killer Deliverables,Furniture,SKU-5993,de68ee36-5775-45be-8b8a-7bb3522d56ea,"Jones, Rodgers and Martinez",kristinvance@example.net,001-415-567-8683x185,"15372 King Mission Apt. 002
West Shannonfurt, VT 21809",Port Raymondbury,CT,USA,1b0493ed-cbda-4aa8-b9b6-c0b214069091,Robert Mcmahon,EMEA,Partner,Web,Pending,2025-02-25,Express,WH-001,,0.66,
834172,2022-12-31,4,$992.74,"$3,970.96",0.0,PayPal,05149cf0-b995-4264-9fdf-a50a4c5e25c9,Empower Mission-Critical Users,electronics,SKU-6995,,Walsh Ltd,hmann@example.net,001-696-537-4391,"19501 Kristie Pike Suite 603
New Richard, NJ 23696",Alisonshire,MN,USA,,,Asia-Pacific,Online,Web,Shipped,2023-01-08,Overnight,WH-002,,0.73,
ORD-82018,2023-04-26,2,$43.93,$79.07,0.1,Bank Transfer,168eb9e8-edac-4ad3-9a8d-778e2657da28,Evolve Granular Mindshare,Office Supplies,SKU-9010,3124ede2-21e5-4ef3-8161-1961640a648c,Clarke LLC,martha32@example.org,(206)231-5150x3370,"89103 Dominguez Loaf Suite 435
Jenniferhaven, MD 48932",Port James,CO,USA,1b0493ed-cbda-4aa8-b9b6-c0b214069091,Robert Mcmahon,North America,Reseller,Web,Cancelled,2023-04-30,Overnight,WH-006,,0.65,
ORD-44404,2023-04-11,1,$906.63,$906.63,0.0,Crypto,934cf22c-9564-4318-a081-33ada53a7c32,Productize Collaborative E-Markets,Office Supplies,SKU-2270,121881ee-53e8-4448-8d12-61598877d7a2,"Alvarez, Tyler and Schmidt",denise19@example.org,001-725-302-5479x7139,"596 Madison Lodge
Lake Bryanport, WI 48703",East Brian,ME,USA,1b0493ed-cbda-4aa8-b9b6-c0b214069091,Robert Mcmahon,APAC,Partner,Organic,Shipped,2023-04-21,Standard,WH-009,,0.61,
ORD-41901,2023-12-02,4,"$1,864.88","$7,459.52",0.0,Crypto,9338c8f2-dcd0-47c2-8b6c-c94dcb0bc7f8,Visualize Killer Deliverables,Office Supplies,SKU-5993,d3505d31-8309-4681-8495-0b3bdc787773,Hart-Bennett,scooper@example.com,+1-342-339-5867,"62569 Amanda Meadows Apt. 209
South Patricia, MO 81067",Port Aaron,MO,USA,,,N. America,Online,Trade Show,Shipped,2023-12-16,Overnight,WH-007,,0.63,
827188,2024-06-18,2,"$2,183.00","$4,366.00",0.0,Crypto,ccecaaa8-083e-4dcc-877e-745587a9aa05,Re-Intermediate Proactive Communities,electronics,SKU-4953,bb44eb31-3ce9-45f4-bd7d-354b12a57f8f,Walsh Ltd,hmann@example.net,001-696-537-4391,"746 Jill Centers Apt. 161
Christophermouth, AL 92889",South Justin,GA,USA,79e94da1-93dc-4b80-b990-8f0f74161f51,Kayla Hughes,NA,Direct,Organic,Cancelled,2024-06-27,Express,WH-009,,0.57,
ORD-83877,2023-06-17,2,"$1,119.89","$2,015.80",0.1,Crypto,ad305847-e2ad-42e9-b5d8-2d748588b0d9,Iterate Front-End Web Services,Office Supplies,SKU-1334,2d2a51fd-a2f8-4b9b-9bf2-b1f4518e4281,"Yang, Dickerson and Smith",grace62@example.org,(757)615-3774,"008 Patterson Stream
Meganview, DC 60442",Jordanport,FM,USA,1b0493ed-cbda-4aa8-b9b6-c0b214069091,Robert Mcmahon,North America,Partner,Web,Shipped,2023-06-22,Overnight,WH-007,,0.62,
ORD-39778,2025-03-08,3,$890.95,"$2,672.85",0.0,Bank Transfer,934cf22c-9564-4318-a081-33ada53a7c32,Productize Collaborative E-Markets,Electronics,SKU-2270,10299ed2-5ac3-40c2-a644-0a73ee5c5d49,Fox and Sons,julia49@example.org,736.963.2238x970,"48038 Alexander Locks Suite 376
Fieldsport, NC 35224",Haleyfurt,GU,USA,1b0493ed-cbda-4aa8-b9b6-c0b214069091,Robert Mcmahon,N. America,Partner,Referral,Pending,2025-03-14,Overnight,WH-009,,0.74,
857681,2025-07-13,1,$914.42,$777.26,0.15,PayPal,934cf22c-9564-4318-a081-33ada53a7c32,Productize Collaborative E-Markets,office_supplies,SKU-2270,3336d74b-502c-44c8-8c85-0a85ce1cdee9,Romero-Chambers,klong@example.net,001-896-561-3541x809,"56058 Jennifer Drive
Brendanburgh, GU 76903",New Alicia,OH,USA,,,North America,Online,Cold Call,Returned,2025-07-26,Overnight,WH-009,Sense girl role environment because Congress plant.,0.56,
ORD-43469,2022-11-24,1,"$2,091.17","$1,882.05",0.1,Credit Card,168eb9e8-edac-4ad3-9a8d-778e2657da28,Evolve Granular Mindshare,Office Supplies,SKU-9010,1d7fba68-f617-4f92-b241-5e447e78794b,Kline-Brewer,michelle12@example.org,(623)884-2744x54588,"13949 Michael Road Apt. 157
East Ryan, NH 94090",Patriciaside,AK,USA,1b0493ed-cbda-4aa8-b9b6-c0b214069091,Robert Mcmahon,"Europe, Middle East, Africa",Direct,Cold Call,Shipped,2022-12-04,Standard,WH-005,,0.61,
ORD-41152,2023-02-10,1,"$1,749.97","$1,749.97",0.0,Bank Transfer,05149cf0-b995-4264-9fdf-a50a4c5e25c9,Empower Mission-Critical Users,Office Supplies,SKU-6995,db58f9ff-3441-47a4-9f14-e93ca806acb7,"Ray, Brennan and Herrera",martinjeffrey@example.net,+1-417-713-7622,"748 Ray Crossing Apt. 962
Debramouth, GA 19417",New Carolynfort,AL,USA,1b0493ed-cbda-4aa8-b9b6-c0b214069091,Robert Mcmahon,EMEA,Partner,Organic,Returned,2023-02-14,Standard,WH-009,,0.61,
ORD-48021,2024-04-11,1,"$1,507.99","$1,507.99",0.0,Credit Card,934cf22c-9564-4318-a081-33ada53a7c32,Productize Collaborative E-Markets,ELEC,SKU-2270,7d59373b-74ad-4210-9fb7-d7c0cd60ad84,Dixon Group,davidbaker@example.org,001-547-658-1212x08924,"79413 Russell Hollow Suite 579
Melissahaven, KY 96415",Burtonfurt,AR,USA,1b0493ed-cbda-4aa8-b9b6-c0b214069091,Robert Mcmahon,"Europe, Middle East, Africa",Direct,Cold Call,Cancelled,2024-04-20,Standard,WH-006,,0.56,
ORD-97653,2024-11-15,2,$813.68,"$1,383.26",0.15,PayPal,a561200a-f638-4e09-a216-1873df420b66,Incentivize Dynamic Channels,electronics,SKU-1038,9f1bc98d-549f-49a8-bccc-17649a665171,Hayden Inc,kmorris@example.org,(956)290-3084x4963,"782 Madeline Port
Erinshire, CT 85466",Lake Robertburgh,KS,USA,1b0493ed-cbda-4aa8-b9b6-c0b214069091,Robert Mcmahon,"Europe, Middle East, Africa",Partner,Web,Cancelled,2024-11-24,Overnight,WH-010,,0.61,
ORD-80836,2024-02-05,5,$671.09,"$3,355.45",0.0,Bank Transfer,a561200a-f638-4e09-a216-1873df420b66,Incentivize Dynamic Channels,office_supplies,SKU-1038,66d2a0f9-fa43-4cf1-8b07-21ab84838d83,"Jones, Sanchez and Sutton",jamiemoran@example.com,001-465-848-1465x21245,"882 Reyes Mountain Suite 981
North Cindy, OR 62067",Teresaside,GA,USA,1b0493ed-cbda-4aa8-b9b6-c0b214069091,Robert Mcmahon,APAC,Reseller,Organic,Returned,2024-02-19,Overnight,WH-003,,0.67,
838997,2025-05-23,1,$612.96,$582.31,0.05,PayPal,20c87ff8-de4b-4b98-9381-3edd534da9ad,Extend End-To-End Synergies,electronics,SKU-3909,9f1bc98d-549f-49a8-bccc-17649a665171,Hayden Inc,kmorris@example.org,(956)290-3084x4963,"1077 Clayton Drive
Howardmouth, RI 11747",New Williammouth,AR,USA,79e94da1-93dc-4b80-b990-8f0f74161f51,Kayla Hughes,N. America,Partner,Referral,Returned,2025-05-20,Overnight,WH-003,,0.67,
